ID;Highly_Unsaturated_and_Phenolic_HighOC_(#);Highly_Unsaturated_and_Phenolic_LowOC_(#);Peptide_like_(#);Polyphenolic_HighOC_(#);Polyphenolic_LowOC_(#);Sugars_w_X_(#);Num.formula_(%);Condensed_aromatics.X_(%);Highly_Unsaturated_and_Phenolic_HighOC_(%);Highly_Unsaturated_and_Phenolic_LowOC_(%);Peptide_like_(%);Polyphenolic_HighOC_(%);Polyphenolic_LowOC_(%);Sugars_w_X_(%);CHON_(#);AveMass;Mass_WeightedAve;HC_WeightedAve;OC_WeightedAve;NC_WeightedAve;NOSC_WeightedAve;AImod_WeightedAve;AI_WeightedAve;Condensed_aromatics.X_(%RA);Highly_Unsaturated_and_Phenolic_HighOC_(%RA);Highly_Unsaturated_and_Phenolic_LowOC_(%RA);Peptide_like_(%RA);Polyphenolic_HighOC_(%RA);Polyphenolic_LowOC_(%RA);Sugars_w_X_(%RA);Polyphenolic_(%RA);Highly_Unsaturated_and_Phenolic_(%RA)
M2T90;280;125;7;2;0;0;414;0;67.6328502415459;30.1932367149758;1.69082125603865;0.483091787439614;0;0;414;495.058231031401;466.39498865653;1.17173177758217;0.567871681467845;0.0500603898370598;0.114192754864556;0.232109782002977;0.00416747546421804;0;82.437234441241;17.0358707398861;0.431085664451131;0.0958091544218152;0;0;0.0958091544218152;99.4731051811271
M4T90;305;173;15;6;0;0;499;0;61.1222444889779;34.6693386773547;3.0060120240481;1.20240480961924;0;0;499;481.619674507014;447.089359373006;1.183590844831;0.555720309552517;0.0520942437668312;0.084132505574474;0.232582754817901;0.00610678297302206;0;77.3155564618315;21.5839735445618;0.811781206491398;0.288688787115349;0;0;0.288688787115349;98.8995300063933
M5T90;245;157;17;6;1;0;426;0;57.5117370892019;36.8544600938967;3.9906103286385;1.40845070422535;0.234741784037559;0;426;466.085222215962;439.047304578132;1.17952711789124;0.553325847907267;0.0527833336741726;0.0854745789457836;0.237771348410732;0.00728036387697855;0;76.5940612394974;22.1403331645609;0.920439681883658;0.30288536337383;0.0422805506842272;0;0.345165914058058;98.7343944040583
M7T30;439;254;33;6;1;0;733;0;59.8908594815825;34.6521145975443;4.50204638472033;0.818553888130969;0.136425648021828;0;733;498.126971010914;449.2473919606;1.19792530757535;0.542295052410825;0.0517726223594194;0.0419826643245417;0.22916761531868;0.00871060268479883;0;71.170238136979;27.1889238987746;1.40963892457191;0.198569116300345;0.0326299233741864;0;0.231199039674532;98.3591620357536
M6T7;437;255;38;4;3;0;737;0;59.2944369063772;34.5997286295794;5.15603799185889;0.542740841248304;0.407055630936228;0;737;496.732227378562;446.739548101852;1.20230037401731;0.544286048457545;0.0521959713243525;0.0428596368708323;0.225535767724131;0.00840306616312778;0;71.6165822083612;26.4610574782172;1.66672899325429;0.154028191848643;0.101603128318652;0;0.255631320167295;98.0776396865784
M8T20;437;236;29;7;2;0;711;0;61.4627285513361;33.1926863572433;4.07876230661041;0.984528832630098;0.281293952180028;0;711;494.955651873418;444.161470397278;1.1939688090199;0.550334838478235;0.0526944897741081;0.0647843372588941;0.228468233212485;0.00825067566917338;0;74.1199996945242;24.2616320020284;1.29953267510974;0.251595840214691;0.0672397881229963;0;0.318835628337687;98.3816316965526
M6T20;418;259;31;4;2;0;714;0;58.5434173669468;36.2745098039216;4.34173669467787;0.560224089635854;0.280112044817927;0;714;498.208273336134;448.978969332605;1.19768190145514;0.540203914195655;0.0517233263382418;0.0378959059508912;0.23042952485513;0.00903537305252129;0;70.4509118450828;27.9943810839066;1.33433247449839;0.158657586928458;0.0617170095837206;0;0.220374596512178;98.4452929289894
M6T90;276;125;7;3;0;0;411;0;67.1532846715328;30.4136253041363;1.70316301703163;0.72992700729927;0;0;411;493.443317542579;466.143938928364;1.17211642169683;0.568535252347711;0.0501200049336055;0.115314097799275;0.231616813431827;0.0044679537961005;0;82.3237852432881;17.0455608220284;0.468703178164682;0.161950756518882;0;0;0.161950756518882;99.3693460653164
M5T30;434;248;31;5;2;0;720;0;60.2777777777778;34.4444444444444;4.30555555555556;0.694444444444444;0.277777777777778;0;720;495.269716234722;446.579550762111;1.19687440336199;0.543008609302903;0.052104617977177;0.0454566691753529;0.229856543437974;0.0087885307609159;0;71.133548321091;27.2152177280659;1.3860084235351;0.193070560528009;0.0721549667799932;0;0.265225527308002;98.3487660491569
M2T20;303;166;17;6;1;0;493;0;61.4604462474645;33.6713995943205;3.44827586206897;1.21703853955375;0.202839756592292;0;493;477.906730326572;447.136732305526;1.17915493089769;0.555007144881216;0.0519979160760797;0.0868531070929256;0.236143928018753;0.00705022010022459;0;77.0682323365834;21.7226598715327;0.864163904429045;0.288687310073613;0.0562565773812545;0;0.344943887454867;98.7908922081161
M7T90;327;221;23;7;3;0;581;0;56.2822719449225;38.0378657487091;3.95869191049914;1.20481927710843;0.516351118760757;0;581;466.837456335628;433.08476411175;1.1872087105722;0.540920031710477;0.0533333983885801;0.0546315480145183;0.239378846314881;0.0105810022750195;0;70.9500815066865;27.5762557689452;1.10056451085485;0.273184891750225;0.099913321763212;0;0.373098213513437;98.5263372756317
Surface;324;236;25;6;2;0;593;0;54.637436762226;39.7976391231029;4.21585160202361;1.01180438448567;0.337268128161889;0;593;469.125215736931;433.752714229365;1.18869824096248;0.535831411372324;0.0530844591466991;0.0422179592222847;0.240850421752837;0.011577983763803;0;68.6406858844469;29.8614491263532;1.18307986424041;0.23577392707646;0.0790111978830522;0;0.314785124959512;98.5021350108001
